title,year,genre,country,imdbRating,imdbVotes
The Wiz,1978,"Adventure, Family, Fantasy",USA,5.2,10000
Attraction,2017,"Drama, Romance, Sci-Fi",Russia,5.6,10011
The Mighty,1998,"Comedy, Drama",USA,7.3,10012
Rebound,2005,"Comedy, Family, Sport",USA,5.1,10013
The Sugarland Express,1974,"Adventure, Comedy, Crime",USA,6.8,10014
Cave of Forgotten Dreams,2010,"Documentary, History","Canada, USA, France, Germany, UK",7.4,10017
Something New,2006,"Comedy, Drama, Romance",USA,6.8,10018
The Mighty,1998,"Comedy, Drama",USA,7.3,10019
Vampyr,1932,Horror,"Germany, France",7.7,10019
Hichki,2018,"Comedy, Drama",India,7.5,10023
Terrorizzati,2017,Horror,Argentina,6.5,10026
Winged Migration,2001,Documentary,"France, Italy, Germany, Spain, Switzerland",8,10027
Joe's Apartment,1996,"Comedy, Fantasy, Musical",USA,5.3,10033
Holiday,1938,"Comedy, Romance",USA,7.9,10033
Diary of a Mad Black Woman,2005,"Comedy, Drama, Romance",USA,5.6,10034
Battle of the Bulge,1965,"War, Action, Drama",USA,6.8,10045
The Girl with the Red Scarf,1978,"Drama, Romance",Turkey,8.7,10046
A Day at the Races,1937,"Comedy, Sport",USA,7.7,10054
The Human Race,2013,"Action, Horror, Sci-Fi",USA,5.4,10055
Lootcase,2020,"Comedy, Crime",India,7.7,10056
Iron Eagle,1986,"Action, Thriller, War","USA, Israel, Canada",5.2,10057
The Baytown Outlaws,2012,"Action, Comedy, Crime",USA,6.3,10057
The Outpost,2020,"Action, Drama, History","USA, Bulgaria",6.7,10057
Mood Indigo,2013,"Comedy, Drama, Fantasy","France, Belgium",6.5,10058
A Night to Remember,1958,"Action, Drama, History",UK,7.9,10059
Jo Jeeta Wohi Sikandar,1992,"Comedy, Drama, Romance",India,8.3,10067
Bud Abbott Lou Costello Meet Frankenstein,1948,"Comedy, Horror, Sci-Fi",USA,7.6,10071
Terminal Velocity,1994,"Action, Comedy, Mystery","USA, Canada",5.4,10075
La verità di Grace,2020,"Drama, Thriller",USA,5.8,10075
Village of the Damned,1960,"Horror, Mystery, Sci-Fi","UK, USA",7.3,10076
Dragonslayer,1981,"Action, Adventure, Fantasy",USA,6.7,10077
The Taking of Deborah Logan,2014,"Horror, Mystery, Thriller",USA,6,10085
The Road Home,1999,"Drama, Romance",China,7.9,10089
PCU,1994,Comedy,USA,6.5,10093
Grace of Monaco,2014,"Biography, Drama, Romance","France, USA, Belgium, Italy, Switzerland",5.6,10095
Sabotage,1936,Thriller,UK,7.1,10095
Bad Boys,1983,"Crime, Drama, Thriller",USA,7.2,10104
Chalte Chalte,2003,"Drama, Romance",India,6.6,10107
Marley,2012,"Documentary, Biography, Music","USA, UK",8,10108
Missione Vendetta,2019,"Action, Crime",UK,6.5,10112
Smokin' Aces 2: Assassins' Ball,2010,"Action, Comedy, Crime","USA, Canada",5.1,10119
Niagara,1953,"Film-Noir, Thriller",USA,7.1,10123
Owning Mahowny,2003,"Crime, Thriller, Drama","Canada, UK",7.1,10126
PCU,1994,Comedy,USA,6.5,10130
Tess,1979,"Drama, Romance","France, UK",7.3,10134
Un safari per Natale,2019,"Comedy, Drama, Romance",USA,6.1,10135
Kabhi Haan Kabhi Naa,1994,"Comedy, Drama, Music",India,8.3,10135
Acts of Violence,2018,"Action, Crime, Drama",Canada,5.3,10138
A Star Is Born,1954,"Drama, Musical, Romance",USA,7.8,10141
Cadillac Man,1990,"Comedy, Crime",USA,5.6,10142
Woman in the Dunes,1964,"Drama, Thriller",Japan,8.4,10142
The Slammin' Salmon,2009,Comedy,USA,6.5,10143
Eega,2012,"Comedy, Drama, Fantasy",India,8,10145
The Alamo,1960,"Adventure, Drama, History",USA,6.9,10146
La voce della pietra,2017,"Drama, Mystery, Thriller","USA, Italy",5.2,10151
Chinese Take-Out,2011,"Comedy, Drama","Argentina, Spain",7.3,10155
North Face,2008,"Adventure, Drama, History","Germany, Austria, Switzerland",7.4,10158
Taking Chance,2009,"Drama, War",USA,7.5,10158
The Children Act - Il verdetto,2017,Drama,"UK, USA",6.7,10161
Stray Dog,1949,"Crime, Drama, Film-Noir",Japan,7.9,10165
The Wedding Banquet,1993,"Comedy, Drama, Romance","Taiwan, USA",7.6,10171
Heaven & Earth,1993,"Action, Biography, Drama","France, USA",6.8,10175
Il Divo,2008,"Biography, Drama","Italy, France",7.3,10175
Tetro,2009,Drama,"USA, Argentina, Spain, Italy",6.9,10176
Imitation of Life,1959,"Drama, Romance",USA,7.9,10176
Amen.,2002,"Crime, Drama, War","France, Germany, Romania",7.3,10178
Animal Crackers,1930,"Comedy, Musical",USA,7.7,10178
Final Analysis,1992,"Drama, Romance, Thriller",USA,5.8,10179
Before the Fall,2004,"Drama, Sport, War",Germany,7.5,10179
The Band's Visit,2007,"Comedy, Drama, Music","Israel, USA, France",7.6,10180
"Welcome Home, Roscoe Jenkins",2008,"Comedy, Romance",USA,5.2,10181
Quest for Camelot,1998,"Animation, Adventure, Comedy",USA,6.2,10184
Tetro,2009,Drama,"USA, Argentina, Spain, Italy",6.9,10185
Il Divo,2008,"Biography, Drama","Italy, France",7.3,10185
Paddleton,2019,"Comedy, Drama",USA,7.2,10186
